first_name,last_name,email,department,salary
Brígida,Prat,rsala@example.com,Sales,23927.74
Martín,Segovia,haydeeginer@example.org,Sales,19404.65
Chus,Gutierrez,olallagascon@example.net,Sales,23566.89
María Belén,Juliá,jmaza@example.com,Marketing,42422.57
Ciríaco,Benavides,silvarenato@example.com,Human Resources,53338.51
Eligio,Pozuelo,balduinoyuste@example.com,Marketing,24284.83
Judith,Cantero,ruthchaparro@example.org,Marketing,46267.59
Balduino,Vicente,leivagabriela@example.net,Sales,30535.08
Eutropio,Saavedra,escuderoodalys@example.net,Human Resources,76670.49
Rosalinda,Bayón,marcelamolina@example.org,Operations,78293.92
Fito,Gallo,rufinaflor@example.com,Engineering,70369.7
Borja,Vallejo,sigfridoalmagro@example.com,Engineering,73843.62
Rosalina,Montalbán,teosolis@example.net,Marketing,36573.37
Francisca,Rosa,ycespedes@example.net,Sales,30426.94
Cesar,Campoy,severino87@example.org,Finance,51797.95
Eugenio,Gil,pastorquintana@example.org,Operations,47955.37
Jacinta,Canales,maria-carmen24@example.org,Engineering,44089.58
Leonor,Andrés,ybosch@example.org,Human Resources,52695.64
Rosalva,Mas,bpallares@example.org,Sales,71012.95
Alondra,Torres,pinoevita@example.org,Operations,35041.94
Delia,Gordillo,sllado@example.com,Marketing,53867.62
Noa,Pereira,consuela65@example.net,Finance,58696.37
Leandra,Villar,bonifacioagusti@example.org,Marketing,24285.6
Vidal,Carvajal,lola16@example.com,Finance,48902.42
Teresa,Estevez,gamezjafet@example.org,Engineering,27872.38
Anselmo,Huertas,amor61@example.com,Human Resources,75817.45
Benita,Rozas,gracianovalero@example.com,Marketing,22645.78
Joel,Diéguez,robledotatiana@example.org,Marketing,71637.69
Ciriaco,Tejera,jlinares@example.com,Engineering,76059.86
Amaya,Valdés,maitepol@example.com,Marketing,32427.36
Ruperto,Casanova,palomaaguirre@example.com,Sales,47029.95
Ema,Carpio,luperodriguez@example.org,Finance,46568.78
Concha,Palmer,rodriguezangelino@example.org,Engineering,27641.71
Cristian,Bartolomé,umora@example.com,Sales,54720.18
Jose Angel,Martorell,leocadia94@example.net,Operations,48817.42
Álvaro,Ros,bhervia@example.org,Engineering,79107.87
Perla,Mendoza,godofredo15@example.org,Sales,59726.23
Adalberto,Soria,garino@example.net,Operations,26239.31
Manu,Baeza,ucaro@example.net,Human Resources,57627.14
Ana,Collado,lsegovia@example.net,Sales,21771.37
Eliseo,Hervia,dpuente@example.net,Marketing,74963.47
Rebeca,Granados,cayetanoaranda@example.net,Operations,18866.69
Macaria,Redondo,pinillaaraceli@example.net,Engineering,57902.58
Azahara,Barreda,micaela97@example.net,Finance,21131.51
Catalina,Redondo,hilario57@example.org,Sales,24907.23
Eli,Larrea,moranlucila@example.org,Human Resources,77366.84
Anita,Perera,severiano73@example.org,Finance,42975.76
Quique,Ferrández,crescencia23@example.net,Marketing,72169.41
Isa,Quintanilla,rvalbuena@example.net,Human Resources,31500.5
Ruperta,Montes,lorena26@example.com,Finance,31127.12
Zacarías,Antúnez,wcortes@example.net,Human Resources,66881.26
Godofredo,Tello,amaropeinado@example.net,Marketing,52684.63
Noé,Jara,jesusabeltran@example.net,Finance,52332.81
Emperatriz,Real,sol91@example.net,Operations,49042.05
Isabela,Arroyo,rosa-mariatolosa@example.org,Engineering,34723.25
Visitación,Sala,barrerarogelio@example.com,Finance,37996.75
Xiomara,Díaz,ainarabayon@example.net,Sales,44594.23
Valeria,Carro,gonzalogregorio@example.com,Marketing,27980.78
Régulo,Pedro,karce@example.org,Marketing,54984.55
Sandra,Pulido,asalmeron@example.org,Engineering,31862.65
Yolanda,Miguel,pascualteofilo@example.net,Operations,68892.69
Benjamín,Sales,calisto47@example.net,Marketing,34033.29
Chuy,Coca,emiliadonaire@example.org,Operations,29678.01
Áurea,Tudela,carmina69@example.org,Sales,45621.29
Áurea,Amorós,aminguez@example.org,Operations,76554.72
Daniel,Benitez,leandracarreras@example.org,Finance,30748.92
Jacinta,Bayón,cletoanguita@example.net,Marketing,37471.73
Eulalia,Almansa,jose-luisfolch@example.net,Human Resources,30097.24
Dalila,Benito,tolosavirginia@example.com,Operations,66933.56
Bibiana,Arcos,navarreteromulo@example.org,Marketing,51902.24
Isidro,Álvarez,pcodina@example.net,Operations,28175.66
Adelina,Vilanova,cmesa@example.net,Marketing,40714.74
Apolonia,Angulo,hermenegildo25@example.com,Engineering,20288.0
Claudio,Gallardo,galo71@example.org,Sales,78776.19
Amalia,Baquero,lmontesinos@example.net,Operations,73312.38
Adora,Roman,mateoslucho@example.com,Human Resources,20637.51
Gabino,Cañizares,celestino66@example.com,Operations,72866.87
Cándida,Galan,inesalmansa@example.com,Sales,75959.97
Moreno,Cortés,simofeliciano@example.org,Human Resources,33529.47
Lidia,Vaquero,malmazan@example.org,Marketing,25550.22
Rosa María,Alegria,montalbanluis-angel@example.net,Engineering,21847.39
Benita,Quesada,camilotolosa@example.com,Human Resources,32089.24
Luís,Crespi,heliodorovargas@example.com,Sales,25720.31
Manola,Roldan,tcortes@example.net,Marketing,75022.86
Mónica,Carrasco,eladio03@example.org,Operations,66155.82
Benito,Avilés,fontangelica@example.com,Finance,33241.57
Sol,Jordán,otejedor@example.org,Sales,26550.26
Atilio,Julián,irmacerda@example.com,Engineering,55796.47
Guiomar,Lucena,aurea84@example.net,Sales,49722.85
Mireia,Merino,carlito76@example.com,Marketing,68529.09
Sandalio,Román,rosa-maria98@example.org,Sales,75978.12
José María,Sáenz,pratsdanilo@example.com,Engineering,63572.96
Vanesa,Nieto,eespada@example.com,Marketing,67091.79
Humberto,Saez,edgardo57@example.org,Operations,64715.41
Liliana,Cordero,jose-mariagarces@example.net,Finance,23733.09
Clotilde,Checa,tarrieta@example.net,Human Resources,78529.19
Celestina,Marti,wcervantes@example.com,Sales,38927.57
Samanta,Codina,narcos@example.net,Operations,55977.96
Encarnación,Ibañez,dnogueira@example.net,Finance,65622.56
Darío,Guardiola,maximo20@example.com,Finance,30101.33
Yaiza,Gálvez,xorozco@example.org,Human Resources,58403.48
Sabas,Hernando,gvillegas@example.net,Sales,49418.52
Leonardo,Paz,roblesursula@example.com,Operations,32700.57
Ester,León,colomersilvia@example.net,Marketing,59601.19
Joan,Palacios,dionisiavendrell@example.org,Finance,60350.83
Teodosio,Córdoba,americo35@example.org,Human Resources,35961.47
Juan Manuel,Conde,segismundo01@example.net,Sales,21486.5
Fátima,Lumbreras,florentina13@example.com,Marketing,30556.88
Timoteo,Almazán,batlleprimitiva@example.org,Human Resources,72300.19
Hernán,Carbó,feliperosello@example.net,Engineering,79293.33
Samuel,Mendez,cristian91@example.org,Sales,27053.8
Viviana,Alberdi,elorzachema@example.org,Marketing,51870.58
Ceferino,Bárcena,pastorcaparros@example.com,Marketing,78835.64
Custodio,Martinez,benjaminsancho@example.net,Finance,75885.33
Eusebia,Quevedo,manolosalas@example.net,Marketing,56181.78
Benigna,Corral,palaualbert@example.com,Human Resources,48142.93
Ligia,Pedrosa,somozaamado@example.net,Human Resources,59789.27
Valentín,Luna,cristobal89@example.com,Sales,19738.31
Luisina,Alvarado,tristan33@example.net,Operations,44487.49
Heriberto,Blasco,hugocarbo@example.org,Sales,71707.07
Fabián,Albero,fbayo@example.org,Finance,26499.68
María Teresa,Chaves,quirinodieguez@example.org,Finance,24870.08
Jose Francisco,Figueras,estrella62@example.org,Human Resources,67721.95
Felipe,Piñeiro,vicenta52@example.com,Marketing,28011.26
Ismael,Lago,trinidad67@example.com,Engineering,20693.5
Ester,Redondo,snevado@example.org,Marketing,70317.58
Paloma,Borja,rodolfoiriarte@example.net,Sales,69633.8
Gilberto,Salazar,barralelodia@example.net,Operations,71597.56
Josefina,Valverde,alcantaracebrian@example.com,Marketing,34975.3
Cleto,Cabello,anibal28@example.org,Operations,76978.21
Rosenda,Checa,carinafuentes@example.net,Operations,44682.26
Humberto,Contreras,lorenatamarit@example.org,Finance,57107.62
Bernardo,Herrera,badiajose@example.net,Sales,61265.0
Cruz,Ayala,buenaventura84@example.org,Marketing,52186.08
Edmundo,Martí,gil21@example.org,Finance,32143.09
Mireia,Vera,mariano53@example.org,Operations,73659.98
Juliana,Iborra,palcala@example.org,Marketing,31259.49
Marisol,Comas,guiomar09@example.net,Finance,37670.43
Eduardo,Cifuentes,haroldo91@example.net,Sales,62140.89
Sancho,Ordóñez,sainzarturo@example.net,Finance,29754.26
Eleuterio,Oller,ybenitez@example.net,Finance,27868.72
Vilma,Gálvez,vallepanfilo@example.com,Finance,36251.13
Fidela,Hernando,castilloxavier@example.com,Engineering,53264.29
Pastor,Heras,martinezjacobo@example.com,Sales,52932.99
Pelayo,Raya,juanangulo@example.net,Engineering,24666.83
Íngrid,Osuna,hozvictor-manuel@example.net,Sales,73014.42
